,No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
34030,34031,2013,11,18,22,3,106.0,132.0,171.0,10.0,87.57,1025.0,12.0,cv,1.0,0.0,0.0,2013-11-18,119.0
34031,34032,2013,11,18,23,3,106.0,132.0,167.0,11.0,93.6,1025.0,12.0,SW,1.0,0.0,0.0,2013-11-18,119.0
34032,34033,2013,11,19,0,3,128.0,116.0,198.0,10.0,87.57,1025.0,12.0,cv,1.0,0.0,0.0,2013-11-19,122.0
34033,34034,2013,11,19,1,3,127.0,111.0,179.0,10.0,93.55,1025.0,11.0,cv,1.0,0.0,0.0,2013-11-19,119.0
34034,34035,2013,11,19,2,3,125.0,107.0,161.0,10.0,93.55,1024.0,11.0,cv,1.0,0.0,0.0,2013-11-19,116.0
34035,34036,2013,11,19,3,3,118.0,118.0,164.0,9.0,93.5,1024.0,10.0,cv,1.0,0.0,0.0,2013-11-19,118.0
34036,34037,2013,11,19,4,3,131.0,130.0,178.0,9.0,93.5,1023.0,10.0,cv,1.0,0.0,0.0,2013-11-19,130.5
34037,34038,2013,11,19,5,3,144.0,146.0,215.0,9.0,93.5,1023.0,10.0,cv,1.0,0.0,0.0,2013-11-19,145.0
34038,34039,2013,11,19,6,3,154.0,165.0,228.0,8.0,93.45,1023.0,9.0,cv,1.0,0.0,0.0,2013-11-19,159.5
34039,34040,2013,11,19,7,3,152.0,200.0,235.0,8.0,93.45,1023.0,9.0,NW,1.0,0.0,0.0,2013-11-19,176.0
34040,34041,2013,11,19,8,3,150.0,211.0,280.0,10.0,93.55,1023.0,11.0,cv,0.0,0.0,0.0,2013-11-19,180.5
34041,34042,2013,11,19,9,3,122.0,223.0,269.0,10.0,87.57,1024.0,12.0,NW,2.0,0.0,0.0,2013-11-19,172.5
34042,34043,2013,11,19,10,3,129.0,220.0,239.0,11.0,87.66,1024.0,13.0,cv,1.0,0.0,0.0,2013-11-19,174.5
34043,34044,2013,11,19,11,3,144.0,210.0,241.0,12.0,87.75,1024.0,14.0,cv,2.0,0.0,0.0,2013-11-19,177.0
34044,34045,2013,11,19,12,3,146.0,197.0,223.0,11.0,77.01,1023.0,15.0,cv,2.0,0.0,0.0,2013-11-19,171.5
34045,34046,2013,11,19,13,3,158.0,173.0,214.0,11.0,72.23,1022.0,16.0,cv,3.0,0.0,0.0,2013-11-19,165.5
34046,34047,2013,11,19,14,3,155.0,128.0,194.0,12.0,77.17,1020.0,16.0,cv,4.0,0.0,0.0,2013-11-19,141.5
34047,34048,2013,11,19,15,3,179.0,120.0,230.0,12.0,72.42,1019.0,17.0,SW,2.0,0.0,0.0,2013-11-19,149.5
34048,34049,2013,11,19,16,3,176.0,126.0,189.0,12.0,72.42,1019.0,17.0,cv,1.0,0.0,0.0,2013-11-19,151.0
34049,34050,2013,11,19,17,3,137.0,115.0,172.0,11.0,72.23,1019.0,16.0,SW,2.0,0.0,0.0,2013-11-19,126.0
34050,34051,2013,11,19,18,3,136.0,116.0,153.0,11.0,72.23,1019.0,16.0,SW,3.0,0.0,0.0,2013-11-19,126.0
34051,34052,2013,11,19,19,3,137.0,109.0,136.0,12.0,82.27,1020.0,15.0,cv,0.0,0.0,0.0,2013-11-19,123.0
34052,34053,2013,11,19,20,3,139.0,117.0,183.0,12.0,82.27,1020.0,15.0,cv,0.0,0.0,0.0,2013-11-19,128.0
34053,34054,2013,11,19,21,3,128.0,128.0,189.0,11.0,77.01,1021.0,15.0,cv,0.0,0.0,0.0,2013-11-19,128.0
34054,34055,2013,11,19,22,3,120.0,123.0,174.0,12.0,82.27,1021.0,15.0,cv,0.0,0.0,0.0,2013-11-19,121.5
34055,34056,2013,11,19,23,3,130.0,114.0,177.0,12.0,87.75,1021.0,14.0,cv,0.0,0.0,0.0,2013-11-19,122.0
34056,34057,2013,11,20,0,3,130.0,116.0,151.0,12.0,87.75,1022.0,14.0,cv,0.0,0.0,0.0,2013-11-20,123.0
34057,34058,2013,11,20,1,3,129.0,115.0,144.0,12.0,87.75,1021.0,14.0,cv,0.0,0.0,0.0,2013-11-20,122.0
34058,34059,2013,11,20,2,3,123.0,126.0,148.0,11.0,82.14,1020.0,14.0,cv,0.0,0.0,0.0,2013-11-20,124.5
34059,34060,2013,11,20,3,3,124.0,130.0,179.0,12.0,87.75,1020.0,14.0,cv,0.0,0.0,0.0,2013-11-20,127.0
34060,34061,2013,11,20,4,3,128.0,139.0,187.0,12.0,93.65,1020.0,13.0,cv,0.0,0.0,0.0,2013-11-20,133.5
34064,34065,2013,11,20,8,3,140.0,140.0,207.0,11.0,87.66,1020.0,13.0,SW,1.0,0.0,0.0,2013-11-20,140.0
34065,34066,2013,11,20,9,3,144.0,150.0,211.0,12.0,87.75,1021.0,14.0,SW,2.0,0.0,0.0,2013-11-20,147.0
34066,34067,2013,11,20,10,3,150.0,162.0,228.0,12.0,82.27,1021.0,15.0,cv,1.0,0.0,0.0,2013-11-20,156.0
34067,34068,2013,11,20,11,3,164.0,171.0,241.0,12.0,82.27,1021.0,15.0,cv,2.0,0.0,0.0,2013-11-20,167.5
34068,34069,2013,11,20,12,3,174.0,164.0,259.0,11.0,67.78,1020.0,17.0,SW,1.0,0.0,0.0,2013-11-20,169.0
34069,34070,2013,11,20,13,3,154.0,159.0,268.0,12.0,72.42,1019.0,17.0,SW,2.0,0.0,0.0,2013-11-20,156.5
34070,34071,2013,11,20,14,3,158.0,124.0,222.0,12.0,67.99,1017.0,18.0,cv,1.0,0.0,0.0,2013-11-20,141.0
34071,34072,2013,11,20,15,3,128.0,113.0,176.0,12.0,67.99,1017.0,18.0,SE,2.0,0.0,0.0,2013-11-20,120.5
34072,34073,2013,11,20,16,3,115.0,109.0,172.0,11.0,63.64,1016.0,18.0,SW,2.0,0.0,0.0,2013-11-20,112.0
34073,34074,2013,11,20,17,3,123.0,113.0,201.0,11.0,63.64,1016.0,18.0,SW,4.0,0.0,0.0,2013-11-20,118.0
34074,34075,2013,11,20,18,3,142.0,135.0,234.0,12.0,72.42,1017.0,17.0,cv,1.0,0.0,0.0,2013-11-20,138.5
34075,34076,2013,11,20,19,3,163.0,151.0,271.0,12.0,77.17,1018.0,16.0,cv,1.0,0.0,0.0,2013-11-20,157.0
34076,34077,2013,11,20,20,3,166.0,147.0,258.0,12.0,77.17,1018.0,16.0,cv,1.0,0.0,0.0,2013-11-20,156.5
34077,34078,2013,11,20,21,3,177.0,141.0,251.0,12.0,82.27,1019.0,15.0,cv,1.0,0.0,0.0,2013-11-20,159.0
34078,34079,2013,11,20,22,3,184.0,137.0,236.0,11.0,82.14,1019.0,14.0,cv,1.0,0.0,0.0,2013-11-20,160.5
34079,34080,2013,11,20,23,3,184.0,137.0,196.0,12.0,87.75,1019.0,14.0,cv,1.0,0.0,0.0,2013-11-20,160.5
34080,34081,2013,11,21,0,3,184.0,137.0,173.0,12.0,77.17,1019.0,16.0,SW,2.0,0.0,0.0,2013-11-21,160.5
34081,34082,2013,11,21,1,3,159.0,120.0,163.0,11.0,77.01,1019.0,15.0,cv,1.0,0.3,0.3,2013-11-21,139.5
34082,34083,2013,11,21,2,3,125.0,114.0,203.0,12.0,82.27,1019.0,15.0,SE,2.0,1.4,1.7,2013-11-21,119.5
34083,34084,2013,11,21,3,3,124.0,105.0,175.0,12.0,87.75,1018.0,14.0,cv,1.0,0.9,2.6,2013-11-21,114.5
34084,34085,2013,11,21,4,3,118.0,104.0,174.0,12.0,87.75,1018.0,14.0,cv,1.0,0.2,2.8,2013-11-21,111.0
34085,34086,2013,11,21,5,3,116.0,96.0,169.0,13.0,93.7,1018.0,14.0,cv,2.0,1.5,4.3,2013-11-21,106.0
34086,34087,2013,11,21,6,3,116.0,96.0,170.0,13.0,93.7,1018.0,14.0,cv,2.0,0.7,5.0,2013-11-21,106.0
34087,34088,2013,11,21,7,3,116.0,96.0,182.0,12.0,87.75,1018.0,14.0,cv,2.0,0.2,5.2,2013-11-21,106.0
34088,34089,2013,11,21,8,3,110.0,83.0,182.0,13.0,93.7,1018.0,14.0,NW,1.0,0.0,0.0,2013-11-21,96.5
34089,34090,2013,11,21,9,3,132.0,102.0,194.0,13.0,93.7,1018.0,14.0,cv,1.0,0.0,0.0,2013-11-21,117.0
34090,34091,2013,11,21,10,3,151.0,115.0,245.0,13.0,93.7,1019.0,14.0,cv,2.0,0.0,0.0,2013-11-21,133.0
34093,34094,2013,11,21,13,3,89.0,91.0,132.0,12.0,87.75,1017.0,14.0,NW,5.0,0.0,0.0,2013-11-21,90.0
34096,34097,2013,11,21,16,3,63.0,74.0,120.0,12.0,87.75,1016.0,14.0,NW,4.0,0.0,0.0,2013-11-21,68.5
34097,34098,2013,11,21,17,3,79.0,95.0,134.0,11.0,82.14,1016.0,14.0,NW,8.0,0.0,0.0,2013-11-21,87.0
34098,34099,2013,11,21,18,3,89.0,79.0,156.0,11.0,82.14,1017.0,14.0,NW,10.0,0.0,0.0,2013-11-21,84.0
34099,34100,2013,11,21,19,3,82.0,78.0,124.0,12.0,87.75,1017.0,14.0,NW,12.0,0.0,0.0,2013-11-21,80.0
34100,34101,2013,11,21,20,3,66.0,93.0,125.0,12.0,87.75,1018.0,14.0,NW,14.0,0.0,0.0,2013-11-21,79.5
34101,34102,2013,11,21,21,3,54.0,100.0,135.0,11.0,87.66,1019.0,13.0,NW,17.0,0.0,0.0,2013-11-21,77.0
34102,34103,2013,11,21,22,3,54.0,100.0,135.0,12.0,93.65,1020.0,13.0,NE,2.0,0.0,0.0,2013-11-21,77.0
34103,34104,2013,11,21,23,3,57.0,99.0,131.0,12.0,93.65,1020.0,13.0,cv,1.0,0.0,0.0,2013-11-21,78.0
34104,34105,2013,11,22,0,3,70.0,98.0,140.0,12.0,87.75,1020.0,14.0,cv,2.0,0.0,0.0,2013-11-22,84.0
34105,34106,2013,11,22,1,3,70.0,98.0,150.0,12.0,93.65,1020.0,13.0,cv,3.0,0.0,0.0,2013-11-22,84.0
34106,34107,2013,11,22,2,3,68.0,94.0,145.0,12.0,93.65,1020.0,13.0,cv,4.0,0.0,0.0,2013-11-22,81.0
34107,34108,2013,11,22,3,3,65.0,90.0,137.0,12.0,93.65,1019.0,13.0,cv,5.0,,,2013-11-22,77.5
34108,34109,2013,11,22,4,3,57.0,74.0,110.0,12.0,93.65,1019.0,13.0,NW,2.0,,,2013-11-22,65.5
34109,34110,2013,11,22,5,3,56.0,81.0,120.0,12.0,93.65,1019.0,13.0,cv,1.0,0.0,0.0,2013-11-22,68.5
34110,34111,2013,11,22,6,3,59.0,78.0,125.0,12.0,93.65,1019.0,13.0,cv,2.0,0.0,0.0,2013-11-22,68.5
34111,34112,2013,11,22,7,3,62.0,76.0,115.0,12.0,93.65,1019.0,13.0,NW,1.0,0.0,0.0,2013-11-22,69.0
34113,34114,2013,11,22,9,3,65.0,74.0,124.0,12.0,93.65,1020.0,13.0,NW,1.0,0.0,0.0,2013-11-22,69.5
34114,34115,2013,11,22,10,3,78.0,75.0,124.0,12.0,93.65,1020.0,13.0,cv,1.0,0.1,0.1,2013-11-22,76.5
34115,34116,2013,11,22,11,3,62.0,77.0,101.0,12.0,87.75,1019.0,14.0,NW,2.0,0.0,0.0,2013-11-22,69.5
34116,34117,2013,11,22,12,3,62.0,77.0,122.0,12.0,82.27,1019.0,15.0,cv,0.0,0.0,0.0,2013-11-22,69.5
34117,34118,2013,11,22,13,3,79.0,101.0,155.0,12.0,87.75,1018.0,14.0,NW,1.0,0.0,0.0,2013-11-22,90.0
34118,34119,2013,11,22,14,3,75.0,84.0,157.0,12.0,87.75,1016.0,14.0,NE,2.0,0.0,0.0,2013-11-22,79.5
34119,34120,2013,11,22,15,3,60.0,87.0,124.0,12.0,87.75,1015.0,14.0,NE,4.0,0.0,0.0,2013-11-22,73.5
34120,34121,2013,11,22,16,3,64.0,94.0,136.0,12.0,82.27,1015.0,15.0,NE,6.0,0.0,0.0,2013-11-22,79.0
34121,34122,2013,11,22,17,3,79.0,92.0,140.0,12.0,82.27,1015.0,15.0,NE,8.0,0.0,0.0,2013-11-22,85.5
34122,34123,2013,11,22,18,3,81.0,72.0,140.0,12.0,82.27,1015.0,15.0,NE,11.0,0.0,0.0,2013-11-22,76.5
34123,34124,2013,11,22,19,3,58.0,56.0,121.0,12.0,87.75,1016.0,14.0,NE,14.0,0.0,0.0,2013-11-22,57.0
34124,34125,2013,11,22,20,3,58.0,56.0,72.0,12.0,87.75,1017.0,14.0,NE,17.0,0.0,0.0,2013-11-22,57.0
34125,34126,2013,11,22,21,3,40.0,40.0,81.0,12.0,87.75,1017.0,14.0,NW,3.0,0.0,0.0,2013-11-22,40.0
34126,34127,2013,11,22,22,3,41.0,53.0,77.0,12.0,87.75,1018.0,14.0,NW,7.0,0.0,0.0,2013-11-22,47.0
34127,34128,2013,11,22,23,3,50.0,56.0,90.0,12.0,93.65,1018.0,13.0,NW,10.0,0.2,0.2,2013-11-22,53.0
34128,34129,2013,11,23,0,3,42.0,49.0,93.0,11.0,87.66,1018.0,13.0,NW,14.0,0.0,0.0,2013-11-23,45.5
34129,34130,2013,11,23,1,3,33.0,53.0,76.0,11.0,87.66,1017.0,13.0,NW,16.0,0.1,0.1,2013-11-23,43.0
34130,34131,2013,11,23,2,3,29.0,47.0,71.0,11.0,87.66,1017.0,13.0,NW,18.0,,,2013-11-23,38.0
34131,34132,2013,11,23,3,3,20.0,30.0,54.0,11.0,87.66,1017.0,13.0,NW,21.0,,,2013-11-23,25.0
34132,34133,2013,11,23,4,3,19.0,23.0,39.0,11.0,93.6,1017.0,12.0,NW,25.0,,,2013-11-23,21.0
34133,34134,2013,11,23,5,3,19.0,20.0,38.0,11.0,93.6,1017.0,12.0,NE,4.0,,,2013-11-23,19.5
34134,34135,2013,11,23,6,3,19.0,20.0,37.0,10.0,87.57,1017.0,12.0,NE,7.0,,,2013-11-23,19.5
34135,34136,2013,11,23,7,3,24.0,23.0,41.0,10.0,87.57,1017.0,12.0,NW,2.0,0.0,0.0,2013-11-23,23.5
34136,34137,2013,11,23,8,3,21.0,23.0,42.0,10.0,87.57,1017.0,12.0,cv,1.0,0.0,0.0,2013-11-23,22.0
34137,34138,2013,11,23,9,3,23.0,24.0,45.0,8.0,71.66,1018.0,13.0,NW,3.0,0.0,0.0,2013-11-23,23.5
34138,34139,2013,11,23,10,3,29.0,23.0,43.0,8.0,71.66,1018.0,13.0,NE,5.0,0.0,0.0,2013-11-23,26.0
34139,34140,2013,11,23,11,3,42.0,35.0,46.0,7.0,66.93,1018.0,13.0,NE,10.0,0.0,0.0,2013-11-23,38.5
34140,34141,2013,11,23,12,3,42.0,35.0,52.0,7.0,66.93,1017.0,13.0,NE,15.0,0.0,0.0,2013-11-23,38.5
34141,34142,2013,11,23,13,3,55.0,40.0,49.0,7.0,66.93,1016.0,13.0,NE,19.0,0.0,0.0,2013-11-23,47.5
34142,34143,2013,11,23,14,3,48.0,36.0,56.0,7.0,66.93,1015.0,13.0,NE,24.0,0.0,0.0,2013-11-23,42.0
34143,34144,2013,11,23,15,3,36.0,30.0,38.0,5.0,58.29,1015.0,13.0,NE,31.0,0.0,0.0,2013-11-23,33.0
34144,34145,2013,11,23,16,3,30.0,28.0,37.0,5.0,62.24,1015.0,12.0,NE,38.0,0.0,0.0,2013-11-23,29.0
34145,34146,2013,11,23,17,3,27.0,25.0,33.0,5.0,66.49,1016.0,11.0,NE,44.0,0.4,0.4,2013-11-23,26.0
34146,34147,2013,11,23,18,3,32.0,27.0,42.0,5.0,71.07,1018.0,10.0,NE,50.0,0.4,0.8,2013-11-23,29.5
34147,34148,2013,11,23,19,3,34.0,32.0,33.0,5.0,76.01,1020.0,9.0,NW,4.0,0.2,1.0,2013-11-23,33.0
34148,34149,2013,11,23,20,3,40.0,27.0,39.0,5.0,76.01,1021.0,9.0,NW,6.0,0.4,1.4,2013-11-23,33.5
34149,34150,2013,11,23,21,3,40.0,27.0,55.0,5.0,76.01,1023.0,9.0,NW,8.0,3.3,4.7,2013-11-23,33.5
34150,34151,2013,11,23,22,3,35.0,28.0,39.0,6.0,81.48,1025.0,9.0,cv,1.0,2.5,7.2,2013-11-23,31.5
34151,34152,2013,11,23,23,3,34.0,26.0,33.0,4.0,75.84,1027.0,8.0,SE,3.0,1.9,9.1,2013-11-23,30.0
34152,34153,2013,11,24,0,3,32.0,27.0,38.0,4.0,75.84,1028.0,8.0,SE,5.0,0.6,9.7,2013-11-24,29.5
34153,34154,2013,11,24,1,3,30.0,26.0,38.0,5.0,87.09,1028.0,7.0,SW,3.0,0.0,0.0,2013-11-24,28.0
34154,34155,2013,11,24,2,3,32.0,30.0,36.0,5.0,87.09,1029.0,7.0,SW,7.0,0.0,0.0,2013-11-24,31.0
34155,34156,2013,11,24,3,3,34.0,30.0,40.0,4.0,81.2,1028.0,7.0,SW,11.0,0.0,0.0,2013-11-24,32.0
34156,34157,2013,11,24,4,3,35.0,34.0,49.0,5.0,87.09,1029.0,7.0,SW,14.0,0.0,0.0,2013-11-24,34.5
34157,34158,2013,11,24,5,3,36.0,32.0,35.0,5.0,87.09,1028.0,7.0,SW,15.0,0.0,0.0,2013-11-24,34.0
34158,34159,2013,11,24,6,3,37.0,39.0,51.0,5.0,87.09,1028.0,7.0,cv,1.0,0.0,0.0,2013-11-24,38.0
34159,34160,2013,11,24,7,3,38.0,44.0,38.0,5.0,93.29,1029.0,6.0,SE,1.0,0.0,0.0,2013-11-24,41.0
34160,34161,2013,11,24,8,3,45.0,45.0,45.0,5.0,87.09,1029.0,7.0,cv,1.0,0.0,0.0,2013-11-24,45.0
34161,34162,2013,11,24,9,3,52.0,49.0,49.0,6.0,87.19,1029.0,8.0,SE,2.0,0.0,0.0,2013-11-24,50.5
34162,34163,2013,11,24,10,3,47.0,44.0,38.0,6.0,76.18,1029.0,10.0,SW,2.0,0.0,0.0,2013-11-24,45.5
34163,34164,2013,11,24,11,3,42.0,40.0,46.0,5.0,66.49,1029.0,11.0,SW,5.0,0.0,0.0,2013-11-24,41.0
34164,34165,2013,11,24,12,3,41.0,34.0,47.0,1.0,41.14,1027.0,14.0,SE,3.0,0.0,0.0,2013-11-24,37.5
34165,34166,2013,11,24,13,3,38.0,32.0,58.0,-2.0,30.98,1025.0,15.0,SE,5.0,0.0,0.0,2013-11-24,35.0
34166,34167,2013,11,24,14,3,38.0,31.0,36.0,1.0,38.56,1023.0,15.0,SW,3.0,0.0,0.0,2013-11-24,34.5
34167,34168,2013,11,24,15,3,38.0,32.0,44.0,1.0,38.56,1022.0,15.0,SW,7.0,0.0,0.0,2013-11-24,35.0
34168,34169,2013,11,24,16,3,42.0,36.0,46.0,-1.0,31.28,1021.0,16.0,cv,3.0,0.0,0.0,2013-11-24,39.0
34169,34170,2013,11,24,17,3,44.0,36.0,42.0,1.0,41.14,1021.0,14.0,SW,3.0,0.0,0.0,2013-11-24,40.0
34170,34171,2013,11,24,18,3,49.0,41.0,51.0,2.0,47.17,1021.0,13.0,SE,3.0,0.0,0.0,2013-11-24,45.0
34171,34172,2013,11,24,19,3,49.0,49.0,50.0,1.0,43.9,1022.0,13.0,SE,7.0,0.0,0.0,2013-11-24,49.0
34172,34173,2013,11,24,20,3,54.0,49.0,55.0,1.0,50.08,1022.0,11.0,SE,9.0,0.0,0.0,2013-11-24,51.5
34173,34174,2013,11,24,21,3,51.0,48.0,49.0,1.0,50.08,1023.0,11.0,cv,1.0,0.0,0.0,2013-11-24,49.5
34174,34175,2013,11,24,22,3,51.0,48.0,48.0,1.0,53.53,1023.0,10.0,cv,2.0,0.0,0.0,2013-11-24,49.5
34175,34176,2013,11,24,23,3,50.0,48.0,44.0,2.0,61.51,1023.0,9.0,cv,3.0,0.0,0.0,2013-11-24,49.0
34176,34177,2013,11,25,0,3,53.0,44.0,43.0,3.0,70.67,1022.0,8.0,cv,4.0,0.0,0.0,2013-11-25,48.5
34177,34178,2013,11,25,1,3,55.0,40.0,45.0,3.0,70.67,1021.0,8.0,cv,5.0,0.0,0.0,2013-11-25,47.5
34178,34179,2013,11,25,2,3,62.0,40.0,,4.0,86.99,1021.0,6.0,cv,5.0,0.0,0.0,2013-11-25,51.0
34179,34180,2013,11,25,3,3,75.0,52.0,,4.0,81.2,1021.0,7.0,cv,5.0,0.0,0.0,2013-11-25,63.5
34180,34181,2013,11,25,4,3,78.0,65.0,,5.0,81.34,1021.0,8.0,cv,5.0,0.0,0.0,2013-11-25,71.5
34181,34182,2013,11,25,5,3,70.0,69.0,,5.0,81.34,1020.0,8.0,cv,5.0,0.0,0.0,2013-11-25,69.5
34182,34183,2013,11,25,6,3,70.0,60.0,,6.0,81.48,1020.0,9.0,cv,5.0,0.0,0.0,2013-11-25,65.0
34183,34184,2013,11,25,7,3,80.0,59.0,,5.0,71.07,1020.0,10.0,cv,6.0,0.0,0.0,2013-11-25,69.5
34184,34185,2013,11,25,8,3,77.0,55.0,,5.0,71.07,1021.0,10.0,SE,2.0,0.0,0.0,2013-11-25,66.0
34185,34186,2013,11,25,9,3,67.0,66.0,,4.0,66.27,1022.0,10.0,NE,2.0,0.0,0.0,2013-11-25,66.5
34186,34187,2013,11,25,10,3,70.0,76.0,,4.0,62.0,1022.0,11.0,NE,4.0,0.0,0.0,2013-11-25,73.0
34187,34188,2013,11,25,11,3,74.0,80.0,,4.0,58.03,1022.0,12.0,cv,1.0,0.0,0.0,2013-11-25,77.0
34188,34189,2013,11,25,12,3,94.0,68.0,,5.0,62.24,1022.0,12.0,cv,2.0,0.0,0.0,2013-11-25,81.0
34189,34190,2013,11,25,13,3,103.0,90.0,,5.0,62.24,1020.0,12.0,cv,3.0,0.0,0.0,2013-11-25,96.5
34190,34191,2013,11,25,14,3,93.0,80.0,,4.0,58.03,1019.0,12.0,NW,2.0,0.0,0.0,2013-11-25,86.5
34191,34192,2013,11,25,15,3,90.0,90.0,,4.0,58.03,1018.0,12.0,NW,4.0,0.0,0.0,2013-11-25,90.0
34192,34193,2013,11,25,16,3,89.0,96.0,,4.0,58.03,1018.0,12.0,NW,6.0,0.0,0.0,2013-11-25,92.5
34193,34194,2013,11,25,17,3,70.0,97.0,,4.0,62.0,1018.0,11.0,NW,8.0,0.0,0.0,2013-11-25,83.5
34194,34195,2013,11,25,18,3,77.0,89.0,,4.0,62.0,1019.0,11.0,NW,9.0,0.0,0.0,2013-11-25,83.0
34195,34196,2013,11,25,19,3,70.0,86.0,,4.0,62.0,1020.0,11.0,cv,0.0,0.0,0.0,2013-11-25,78.0
34196,34197,2013,11,25,20,3,67.0,91.0,,5.0,71.07,1020.0,10.0,cv,0.0,0.0,0.0,2013-11-25,79.0
34197,34198,2013,11,25,21,3,74.0,89.0,,5.0,71.07,1021.0,10.0,cv,0.0,0.0,0.0,2013-11-25,81.5
34198,34199,2013,11,25,22,3,78.0,83.0,,4.0,66.27,1022.0,10.0,cv,0.0,0.0,0.0,2013-11-25,80.5
34199,34200,2013,11,25,23,3,58.0,85.0,,6.0,76.18,1022.0,10.0,cv,0.0,0.0,0.0,2013-11-25,71.5
34200,34201,2013,11,26,0,3,87.0,92.0,,6.0,76.18,1021.0,10.0,SW,1.0,0.0,0.0,2013-11-26,89.5
34201,34202,2013,11,26,1,3,113.0,98.0,,6.0,76.18,1021.0,10.0,cv,1.0,0.0,0.0,2013-11-26,105.5
34202,34203,2013,11,26,2,3,116.0,109.0,,6.0,81.48,1020.0,9.0,cv,1.0,0.0,0.0,2013-11-26,112.5
34203,34204,2013,11,26,3,3,126.0,115.0,,7.0,87.28,1019.0,9.0,SW,1.0,0.0,0.0,2013-11-26,120.5
34204,34205,2013,11,26,4,3,133.0,113.0,,7.0,87.28,1019.0,9.0,cv,0.0,0.0,0.0,2013-11-26,123.0
34205,34206,2013,11,26,5,3,139.0,128.0,,7.0,87.28,1018.0,9.0,cv,0.0,0.0,0.0,2013-11-26,133.5
34206,34207,2013,11,26,6,3,148.0,134.0,,7.0,87.28,1017.0,9.0,SW,1.0,0.0,0.0,2013-11-26,141.0
34207,34208,2013,11,26,7,3,153.0,138.0,,7.0,87.28,1018.0,9.0,cv,0.0,0.0,0.0,2013-11-26,145.5
34208,34209,2013,11,26,8,3,135.0,143.0,,7.0,87.28,1018.0,9.0,cv,0.0,0.0,0.0,2013-11-26,139.0
34209,34210,2013,11,26,9,3,116.0,146.0,,8.0,87.38,1018.0,10.0,cv,0.0,0.0,0.0,2013-11-26,131.0
34210,34211,2013,11,26,10,3,99.0,149.0,,6.0,71.27,1018.0,11.0,cv,0.0,0.0,0.0,2013-11-26,124.0
34211,34212,2013,11,26,11,3,90.0,158.0,,6.0,66.71,1019.0,12.0,cv,0.0,0.0,0.0,2013-11-26,124.0
34212,34213,2013,11,26,12,3,90.0,158.0,,5.0,58.29,1017.0,13.0,cv,1.0,0.0,0.0,2013-11-26,124.0
34213,34214,2013,11,26,13,3,84.0,88.0,,4.0,50.92,1016.0,14.0,cv,2.0,0.0,0.0,2013-11-26,86.0
34214,34215,2013,11,26,14,3,84.0,88.0,,4.0,50.92,1015.0,14.0,NE,2.0,0.0,0.0,2013-11-26,86.0
34215,34216,2013,11,26,15,3,98.0,93.0,,5.0,58.29,1014.0,13.0,NW,3.0,0.0,0.0,2013-11-26,95.5
34216,34217,2013,11,26,16,3,102.0,103.0,,5.0,58.29,1015.0,13.0,NE,4.0,0.0,0.0,2013-11-26,102.5
34217,34218,2013,11,26,17,3,104.0,144.0,,6.0,66.71,1017.0,12.0,NW,3.0,0.0,0.0,2013-11-26,124.0
34218,34219,2013,11,26,18,3,89.0,128.0,,6.0,66.71,1018.0,12.0,NW,6.0,0.0,0.0,2013-11-26,108.5
34219,34220,2013,11,26,19,3,85.0,111.0,,6.0,71.27,1020.0,11.0,NW,8.0,0.0,0.0,2013-11-26,98.0
34220,34221,2013,11,26,20,3,79.0,98.0,,6.0,71.27,1022.0,11.0,cv,1.0,0.0,0.0,2013-11-26,88.5
34221,34222,2013,11,26,21,3,70.0,97.0,,6.0,71.27,1023.0,11.0,cv,2.0,0.0,0.0,2013-11-26,83.5
34222,34223,2013,11,26,22,3,74.0,89.0,,6.0,71.27,1025.0,11.0,cv,3.0,0.0,0.0,2013-11-26,81.5
34223,34224,2013,11,26,23,3,79.0,83.0,,7.0,81.61,1025.0,10.0,cv,4.0,0.0,0.0,2013-11-26,81.0
34224,34225,2013,11,27,0,3,94.0,95.0,,7.0,81.61,1026.0,10.0,SW,2.0,0.0,0.0,2013-11-27,94.5
34225,34226,2013,11,27,1,3,96.0,109.0,,7.0,81.61,1026.0,10.0,SW,4.0,0.0,0.0,2013-11-27,102.5
34226,34227,2013,11,27,2,3,93.0,110.0,,7.0,81.61,1026.0,10.0,cv,1.0,0.0,0.0,2013-11-27,101.5
34227,34228,2013,11,27,3,3,96.0,112.0,,7.0,81.61,1026.0,10.0,cv,2.0,0.0,0.0,2013-11-27,104.0
34228,34229,2013,11,27,4,3,94.0,113.0,,7.0,81.61,1025.0,10.0,cv,3.0,0.0,0.0,2013-11-27,103.5
34229,34230,2013,11,27,5,3,91.0,122.0,,7.0,81.61,1026.0,10.0,cv,4.0,0.0,0.0,2013-11-27,106.5
34230,34231,2013,11,27,6,3,93.0,131.0,,7.0,81.61,1026.0,10.0,cv,5.0,0.0,0.0,2013-11-27,112.0
34231,34232,2013,11,27,7,3,94.0,132.0,,7.0,87.28,1026.0,9.0,SW,1.0,0.0,0.0,2013-11-27,113.0
34232,34233,2013,11,27,8,3,88.0,137.0,,7.0,87.28,1027.0,9.0,cv,0.0,0.0,0.0,2013-11-27,112.5
34233,34234,2013,11,27,9,3,84.0,141.0,,8.0,87.38,1028.0,10.0,cv,1.0,0.0,0.0,2013-11-27,112.5
