,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
28277,28278,2013,3,24,5,1,8.0,12.0,12.0,13.0,-12.0,42.0,1024.0,-1.0,NE,3.13,0.0,0.0,2013-03-24,10.67
28278,28279,2013,3,24,6,1,10.0,13.0,12.0,18.0,-12.0,42.0,1024.0,-1.0,NE,4.92,0.0,0.0,2013-03-24,11.67
28279,28280,2013,3,24,7,1,12.0,20.0,19.0,18.0,-13.0,34.0,1025.0,1.0,NW,1.79,0.0,0.0,2013-03-24,17.0
28280,28281,2013,3,24,8,1,13.0,18.0,15.0,11.0,-17.0,19.0,1025.0,4.0,NW,6.71,0.0,0.0,2013-03-24,15.33
28281,28282,2013,3,24,9,1,11.0,9.0,12.0,12.0,-17.0,19.0,1025.0,4.0,NW,11.63,0.0,0.0,2013-03-24,10.67
28282,28283,2013,3,24,10,1,4.0,10.0,7.0,12.0,-18.0,15.0,1025.0,6.0,NW,15.65,0.0,0.0,2013-03-24,7.0
28283,28284,2013,3,24,11,1,10.0,14.0,14.0,11.0,-17.0,17.0,1024.0,6.0,NE,1.79,0.0,0.0,2013-03-24,12.67
28284,28285,2013,3,24,12,1,4.0,14.0,13.0,15.0,-18.0,13.0,1023.0,8.0,NW,3.13,0.0,0.0,2013-03-24,10.33
28285,28286,2013,3,24,13,1,5.0,13.0,7.0,13.0,-18.0,13.0,1022.0,8.0,NW,6.26,0.0,0.0,2013-03-24,8.33
28286,28287,2013,3,24,14,1,4.0,11.0,13.0,12.0,-19.0,12.0,1021.0,8.0,cv,0.89,0.0,0.0,2013-03-24,9.33
28287,28288,2013,3,24,15,1,9.0,13.0,10.0,12.0,-19.0,11.0,1019.0,9.0,cv,2.68,0.0,0.0,2013-03-24,10.67
28288,28289,2013,3,24,16,1,17.0,15.0,13.0,15.0,-18.0,12.0,1018.0,9.0,SE,4.02,0.0,0.0,2013-03-24,15.0
28289,28290,2013,3,24,17,1,25.0,19.0,14.0,21.0,-17.0,14.0,1018.0,9.0,SE,8.04,0.0,0.0,2013-03-24,19.33
28290,28291,2013,3,24,18,1,34.0,25.0,30.0,32.0,-15.0,17.0,1018.0,8.0,SE,11.17,0.0,0.0,2013-03-24,29.67
28291,28292,2013,3,24,19,1,48.0,38.0,46.0,50.0,-14.0,22.0,1019.0,6.0,SE,14.3,0.0,0.0,2013-03-24,44.0
28292,28293,2013,3,24,20,1,60.0,49.0,53.0,60.0,-14.0,22.0,1019.0,6.0,SE,18.32,0.0,0.0,2013-03-24,54.0
28293,28294,2013,3,24,21,1,55.0,52.0,56.0,56.0,-13.0,25.0,1020.0,5.0,SE,20.11,0.0,0.0,2013-03-24,54.33
28294,28295,2013,3,24,22,1,58.0,52.0,52.0,58.0,-12.0,30.0,1021.0,4.0,SE,23.24,0.0,0.0,2013-03-24,54.0
28295,28296,2013,3,24,23,1,58.0,52.0,53.0,71.0,-10.0,37.0,1021.0,3.0,cv,0.89,0.0,0.0,2013-03-24,54.33
28296,28297,2013,3,25,0,1,66.0,77.0,70.0,91.0,-7.0,51.0,1022.0,2.0,SE,4.02,0.0,0.0,2013-03-25,71.0
28297,28298,2013,3,25,1,1,73.0,84.0,79.0,88.0,-7.0,51.0,1022.0,2.0,SE,7.15,0.0,0.0,2013-03-25,78.67
28298,28299,2013,3,25,2,1,78.0,88.0,78.0,90.0,-5.0,69.0,1023.0,0.0,SE,12.07,0.0,0.0,2013-03-25,81.33
28299,28300,2013,3,25,3,1,78.0,80.0,80.0,74.0,-5.0,69.0,1023.0,0.0,SE,16.09,0.0,0.0,2013-03-25,79.33
28300,28301,2013,3,25,4,1,70.0,74.0,67.0,86.0,-5.0,74.0,1023.0,-1.0,SE,19.22,0.0,0.0,2013-03-25,70.33
28301,28302,2013,3,25,5,1,68.0,80.0,73.0,103.0,-6.0,68.0,1023.0,-1.0,cv,0.89,0.0,0.0,2013-03-25,73.67
28302,28303,2013,3,25,6,1,72.0,90.0,89.0,119.0,-6.0,68.0,1024.0,-1.0,cv,1.78,0.0,0.0,2013-03-25,83.67
28303,28304,2013,3,25,7,1,98.0,117.0,113.0,121.0,-5.0,69.0,1024.0,0.0,cv,2.67,0.0,0.0,2013-03-25,109.33
28304,28305,2013,3,25,8,1,113.0,120.0,119.0,137.0,-5.0,64.0,1024.0,1.0,cv,3.56,0.0,0.0,2013-03-25,117.33
28305,28306,2013,3,25,9,1,111.0,125.0,114.0,126.0,-6.0,51.0,1024.0,3.0,SE,1.79,0.0,0.0,2013-03-25,116.67
28306,28307,2013,3,25,10,1,100.0,100.0,99.0,112.0,-7.0,44.0,1024.0,4.0,cv,1.79,0.0,0.0,2013-03-25,99.67
28307,28308,2013,3,25,11,1,115.0,117.0,118.0,,-8.0,35.0,1023.0,6.0,cv,3.58,0.0,0.0,2013-03-25,116.67
28308,28309,2013,3,25,12,1,129.0,121.0,120.0,137.0,-8.0,33.0,1022.0,7.0,SE,3.13,0.0,0.0,2013-03-25,123.33
28309,28310,2013,3,25,13,1,127.0,116.0,119.0,129.0,-8.0,29.0,1021.0,9.0,cv,3.13,0.0,0.0,2013-03-25,120.67
28310,28311,2013,3,25,14,1,134.0,127.0,131.0,137.0,-9.0,25.0,1020.0,10.0,cv,4.92,0.0,0.0,2013-03-25,130.67
28311,28312,2013,3,25,15,1,116.0,113.0,114.0,123.0,-9.0,23.0,1019.0,11.0,SE,3.13,0.0,0.0,2013-03-25,114.33
28312,28313,2013,3,25,16,1,111.0,113.0,114.0,115.0,-9.0,23.0,1019.0,11.0,SE,6.26,0.0,0.0,2013-03-25,112.67
28313,28314,2013,3,25,17,1,109.0,103.0,101.0,117.0,-10.0,21.0,1018.0,11.0,SE,10.28,0.0,0.0,2013-03-25,104.33
28314,28315,2013,3,25,18,1,128.0,100.0,115.0,135.0,-9.0,25.0,1018.0,10.0,SE,13.41,0.0,0.0,2013-03-25,114.33
28316,28317,2013,3,25,20,1,120.0,119.0,130.0,127.0,-8.0,33.0,1019.0,7.0,SE,16.99,0.0,0.0,2013-03-25,123.0
28317,28318,2013,3,25,21,1,100.0,94.0,97.0,102.0,-7.0,36.0,1019.0,7.0,SE,18.78,0.0,0.0,2013-03-25,97.0
28318,28319,2013,3,25,22,1,94.0,94.0,84.0,97.0,-7.0,38.0,1019.0,6.0,SE,20.57,0.0,0.0,2013-03-25,90.67
28319,28320,2013,3,25,23,1,95.0,80.0,89.0,98.0,-7.0,44.0,1018.0,4.0,SE,22.36,0.0,0.0,2013-03-25,88.0
28320,28321,2013,3,26,0,1,100.0,93.0,99.0,110.0,-8.0,38.0,1018.0,5.0,SE,25.49,0.0,0.0,2013-03-26,97.33
28321,28322,2013,3,26,1,1,115.0,98.0,117.0,128.0,-8.0,38.0,1018.0,5.0,SE,28.62,0.0,0.0,2013-03-26,110.0
28322,28323,2013,3,26,2,1,140.0,111.0,129.0,153.0,-8.0,41.0,1017.0,4.0,SE,30.41,0.0,0.0,2013-03-26,126.67
28323,28324,2013,3,26,3,1,165.0,124.0,155.0,174.0,-7.0,51.0,1017.0,2.0,SE,32.2,0.0,0.0,2013-03-26,148.0
28324,28325,2013,3,26,4,1,178.0,147.0,162.0,187.0,-6.0,59.0,1016.0,1.0,cv,0.45,0.0,0.0,2013-03-26,162.33
28325,28326,2013,3,26,5,1,180.0,169.0,178.0,188.0,-4.0,74.0,1016.0,0.0,cv,0.9,0.0,0.0,2013-03-26,175.67
28326,28327,2013,3,26,6,1,188.0,161.0,181.0,196.0,-4.0,74.0,1016.0,0.0,NE,0.89,0.0,0.0,2013-03-26,176.67
28327,28328,2013,3,26,7,1,162.0,176.0,154.0,196.0,-3.0,80.0,1017.0,0.0,cv,0.89,0.0,0.0,2013-03-26,164.0
28328,28329,2013,3,26,8,1,192.0,180.0,154.0,205.0,0.0,75.0,1016.0,4.0,SE,1.79,0.0,0.0,2013-03-26,175.33
28329,28330,2013,3,26,9,1,201.0,189.0,199.0,217.0,0.0,70.0,1016.0,5.0,SE,4.92,0.0,0.0,2013-03-26,196.33
28330,28331,2013,3,26,10,1,221.0,209.0,208.0,229.0,0.0,60.0,1016.0,7.0,SE,6.71,0.0,0.0,2013-03-26,212.67
28331,28332,2013,3,26,11,1,225.0,219.0,224.0,240.0,0.0,56.0,1015.0,8.0,SE,8.5,0.0,0.0,2013-03-26,222.67
28332,28333,2013,3,26,12,1,224.0,213.0,213.0,231.0,0.0,49.0,1014.0,10.0,SE,11.63,0.0,0.0,2013-03-26,216.67
28333,28334,2013,3,26,13,1,186.0,197.0,197.0,211.0,-1.0,40.0,1012.0,12.0,SE,15.65,0.0,0.0,2013-03-26,193.33
28334,28335,2013,3,26,14,1,187.0,185.0,190.0,210.0,-2.0,35.0,1012.0,13.0,SE,19.67,0.0,0.0,2013-03-26,187.33
28336,28337,2013,3,26,16,1,3.0,189.0,191.0,210.0,-3.0,32.0,1010.0,13.0,SE,30.4,0.0,0.0,2013-03-26,127.67
28337,28338,2013,3,26,17,1,3.0,197.0,204.0,223.0,-2.0,35.0,1009.0,13.0,SE,34.42,0.0,0.0,2013-03-26,134.67
28338,28339,2013,3,26,18,1,3.0,194.0,204.0,220.0,-1.0,40.0,1009.0,12.0,SE,37.55,0.0,0.0,2013-03-26,133.67
28339,28340,2013,3,26,19,1,220.0,196.0,204.0,223.0,0.0,53.0,1009.0,9.0,cv,0.89,0.0,0.0,2013-03-26,206.67
28340,28341,2013,3,26,20,1,210.0,216.0,203.0,234.0,1.0,61.0,1010.0,8.0,SE,1.79,0.0,0.0,2013-03-26,209.67
28341,28342,2013,3,26,21,1,196.0,232.0,197.0,231.0,1.0,53.0,1010.0,10.0,SE,3.58,0.0,0.0,2013-03-26,208.33
28342,28343,2013,3,26,22,1,152.0,232.0,150.0,154.0,1.0,61.0,1010.0,8.0,SE,6.71,0.0,0.0,2013-03-26,178.0
28343,28344,2013,3,26,23,1,128.0,145.0,125.0,128.0,3.0,66.0,1010.0,9.0,SE,10.73,0.0,0.0,2013-03-26,132.67
28344,28345,2013,3,27,0,1,125.0,116.0,122.0,132.0,3.0,70.0,1009.0,8.0,SE,13.86,0.0,0.0,2013-03-27,121.0
28345,28346,2013,3,27,1,1,126.0,117.0,123.0,134.0,2.0,75.0,1009.0,6.0,SE,16.99,0.0,0.0,2013-03-27,122.0
28346,28347,2013,3,27,2,1,130.0,123.0,126.0,135.0,3.0,75.0,1009.0,7.0,SE,18.78,0.0,0.0,2013-03-27,126.33
28347,28348,2013,3,27,3,1,130.0,124.0,125.0,134.0,3.0,86.0,1008.0,5.0,SE,20.57,0.0,0.0,2013-03-27,126.33
28348,28349,2013,3,27,4,1,129.0,124.0,99.0,139.0,4.0,93.0,1007.0,5.0,SE,22.36,0.0,0.0,2013-03-27,117.33
28349,28350,2013,3,27,5,1,137.0,118.0,105.0,171.0,3.0,86.0,1007.0,5.0,SE,24.15,0.0,0.0,2013-03-27,120.0
28350,28351,2013,3,27,6,1,188.0,132.0,189.0,204.0,4.0,86.0,1008.0,6.0,SE,25.94,0.0,0.0,2013-03-27,169.67
28351,28352,2013,3,27,7,1,211.0,177.0,184.0,183.0,4.0,86.0,1009.0,6.0,cv,0.89,0.0,0.0,2013-03-27,190.67
28352,28353,2013,3,27,8,1,211.0,158.0,165.0,179.0,4.0,86.0,1010.0,6.0,NW,4.92,0.0,0.0,2013-03-27,178.0
28353,28354,2013,3,27,9,1,3.0,164.0,166.0,192.0,4.0,75.0,1010.0,8.0,NW,6.71,0.0,0.0,2013-03-27,111.0
28354,28355,2013,3,27,10,1,127.0,184.0,180.0,194.0,5.0,66.0,1010.0,11.0,cv,0.89,0.0,0.0,2013-03-27,163.67
28355,28356,2013,3,27,11,1,152.0,165.0,156.0,156.0,4.0,54.0,1009.0,13.0,NE,1.79,0.0,0.0,2013-03-27,157.67
28356,28357,2013,3,27,12,1,70.0,102.0,85.0,84.0,2.0,41.0,1009.0,15.0,cv,1.79,0.0,0.0,2013-03-27,85.67
28357,28358,2013,3,27,13,1,70.0,22.0,85.0,21.0,-6.0,18.0,1008.0,18.0,NW,4.02,0.0,0.0,2013-03-27,59.0
28358,28359,2013,3,27,14,1,16.0,22.0,18.0,16.0,-6.0,16.0,1008.0,20.0,NW,8.94,0.0,0.0,2013-03-27,18.67
28359,28360,2013,3,27,15,1,13.0,13.0,12.0,15.0,-8.0,14.0,1008.0,20.0,NW,16.09,0.0,0.0,2013-03-27,12.67
28360,28361,2013,3,27,16,1,11.0,13.0,14.0,17.0,-10.0,13.0,1008.0,19.0,NW,25.03,0.0,0.0,2013-03-27,12.67
28361,28362,2013,3,27,17,1,10.0,12.0,9.0,26.0,-15.0,9.0,1009.0,17.0,NW,36.21,0.0,0.0,2013-03-27,10.33
28362,28363,2013,3,27,18,1,12.0,12.0,8.0,16.0,-18.0,9.0,1011.0,14.0,NW,46.04,0.0,0.0,2013-03-27,10.67
28363,28364,2013,3,27,19,1,16.0,14.0,11.0,15.0,-19.0,9.0,1013.0,12.0,NW,50.96,0.0,0.0,2013-03-27,13.67
28364,28365,2013,3,27,20,1,16.0,11.0,3.0,15.0,-19.0,10.0,1014.0,11.0,NW,56.77,0.0,0.0,2013-03-27,10.0
28365,28366,2013,3,27,21,1,13.0,20.0,12.0,16.0,-19.0,11.0,1016.0,10.0,NE,4.92,0.0,0.0,2013-03-27,15.0
28366,28367,2013,3,27,22,1,13.0,20.0,12.0,15.0,-19.0,11.0,1018.0,9.0,NE,8.94,0.0,0.0,2013-03-27,15.0
28367,28368,2013,3,27,23,1,10.0,16.0,10.0,16.0,-19.0,12.0,1019.0,8.0,NE,12.96,0.0,0.0,2013-03-27,12.0
28368,28369,2013,3,28,0,1,10.0,11.0,10.0,8.0,-18.0,13.0,1020.0,8.0,NE,16.98,0.0,0.0,2013-03-28,10.33
28369,28370,2013,3,28,1,1,6.0,12.0,9.0,8.0,-19.0,13.0,1020.0,7.0,NE,21.9,0.0,0.0,2013-03-28,9.0
28370,28371,2013,3,28,2,1,7.0,18.0,12.0,7.0,-19.0,14.0,1020.0,6.0,NE,25.92,0.0,0.0,2013-03-28,12.33
28371,28372,2013,3,28,3,1,7.0,17.0,13.0,8.0,-17.0,18.0,1020.0,5.0,NE,29.05,0.0,0.0,2013-03-28,12.33
28372,28373,2013,3,28,4,1,8.0,12.0,13.0,16.0,-18.0,17.0,1020.0,5.0,NE,32.18,0.0,0.0,2013-03-28,11.0
28373,28374,2013,3,28,5,1,14.0,29.0,18.0,17.0,-16.0,23.0,1021.0,3.0,cv,0.89,0.0,0.0,2013-03-28,20.33
28374,28375,2013,3,28,6,1,11.0,25.0,11.0,25.0,-13.0,31.0,1022.0,2.0,NW,1.79,0.0,0.0,2013-03-28,15.67
28376,28377,2013,3,28,8,1,12.0,16.0,14.0,13.0,-20.0,13.0,1023.0,6.0,cv,0.89,0.0,0.0,2013-03-28,14.0
28377,28378,2013,3,28,9,1,14.0,18.0,9.0,19.0,-20.0,12.0,1023.0,7.0,NW,3.13,0.0,0.0,2013-03-28,13.67
28378,28379,2013,3,28,10,1,21.0,13.0,15.0,18.0,-21.0,10.0,1023.0,8.0,NW,4.92,0.0,0.0,2013-03-28,16.33
28379,28380,2013,3,28,11,1,18.0,16.0,12.0,15.0,-20.0,10.0,1023.0,9.0,cv,0.89,0.0,0.0,2013-03-28,15.33
28380,28381,2013,3,28,12,1,19.0,10.0,16.0,21.0,-14.0,16.0,1022.0,10.0,NW,4.92,0.0,0.0,2013-03-28,15.0
28381,28382,2013,3,28,13,1,12.0,16.0,14.0,11.0,-11.0,21.0,1022.0,10.0,NW,9.84,0.0,0.0,2013-03-28,14.0
28382,28383,2013,3,28,14,1,12.0,16.0,11.0,21.0,-14.0,15.0,1020.0,11.0,NW,14.76,0.0,0.0,2013-03-28,13.0
28383,28384,2013,3,28,15,1,6.0,8.0,17.0,20.0,-16.0,12.0,1019.0,12.0,NW,20.57,0.0,0.0,2013-03-28,10.33
28384,28385,2013,3,28,16,1,14.0,12.0,12.0,22.0,-17.0,10.0,1019.0,13.0,SE,4.02,0.0,0.0,2013-03-28,12.67
28385,28386,2013,3,28,17,1,14.0,6.0,12.0,17.0,-21.0,7.0,1019.0,13.0,NW,1.79,0.0,0.0,2013-03-28,10.67
28386,28387,2013,3,28,18,1,52.0,29.0,40.0,60.0,-18.0,10.0,1019.0,12.0,NE,1.79,0.0,0.0,2013-03-28,40.33
28387,28388,2013,3,28,19,1,93.0,80.0,88.0,97.0,-16.0,14.0,1019.0,10.0,SE,1.79,0.0,0.0,2013-03-28,87.0
28388,28389,2013,3,28,20,1,108.0,102.0,107.0,120.0,-7.0,29.0,1020.0,10.0,SE,5.81,0.0,0.0,2013-03-28,105.67
28389,28390,2013,3,28,21,1,104.0,100.0,106.0,111.0,-4.0,42.0,1021.0,8.0,SE,7.6,0.0,0.0,2013-03-28,103.33
28390,28391,2013,3,28,22,1,102.0,100.0,98.0,109.0,-3.0,42.0,1022.0,9.0,SE,9.39,0.0,0.0,2013-03-28,100.0
28391,28392,2013,3,28,23,1,102.0,93.0,97.0,110.0,-3.0,56.0,1022.0,5.0,SE,11.18,0.0,0.0,2013-03-28,97.33
28392,28393,2013,3,29,0,1,100.0,95.0,102.0,93.0,-3.0,60.0,1022.0,4.0,NW,1.79,0.0,0.0,2013-03-29,99.0
28393,28394,2013,3,29,1,1,110.0,101.0,98.0,103.0,-3.0,74.0,1022.0,1.0,cv,0.89,0.0,0.0,2013-03-29,103.0
28394,28395,2013,3,29,2,1,105.0,103.0,107.0,100.0,-4.0,69.0,1022.0,1.0,NW,1.79,0.0,0.0,2013-03-29,105.0
28395,28396,2013,3,29,3,1,93.0,100.0,98.0,110.0,-4.0,74.0,1022.0,0.0,NE,1.79,0.0,0.0,2013-03-29,97.0
28396,28397,2013,3,29,4,1,93.0,105.0,98.0,100.0,-6.0,55.0,1022.0,2.0,cv,0.89,0.0,0.0,2013-03-29,98.67
28397,28398,2013,3,29,5,1,100.0,101.0,103.0,93.0,-6.0,59.0,1023.0,1.0,NE,0.89,0.0,0.0,2013-03-29,101.33
28398,28399,2013,3,29,6,1,84.0,99.0,96.0,97.0,-5.0,64.0,1024.0,1.0,cv,0.45,0.0,0.0,2013-03-29,93.0
28399,28400,2013,3,29,7,1,88.0,105.0,104.0,116.0,-3.0,69.0,1024.0,2.0,NE,1.79,0.0,0.0,2013-03-29,99.0
28400,28401,2013,3,29,8,1,102.0,120.0,117.0,127.0,-3.0,64.0,1024.0,3.0,SE,3.13,0.0,0.0,2013-03-29,113.0
28401,28402,2013,3,29,9,1,103.0,108.0,97.0,117.0,-4.0,52.0,1024.0,5.0,SE,7.15,0.0,0.0,2013-03-29,102.67
28402,28403,2013,3,29,10,1,82.0,82.0,76.0,90.0,-8.0,29.0,1023.0,9.0,NE,4.02,0.0,0.0,2013-03-29,80.0
28403,28404,2013,3,29,11,1,72.0,70.0,72.0,78.0,-11.0,23.0,1023.0,9.0,SE,4.02,0.0,0.0,2013-03-29,71.33
28404,28405,2013,3,29,12,1,102.0,103.0,99.0,119.0,-14.0,16.0,1022.0,10.0,SE,8.94,0.0,0.0,2013-03-29,101.33
28405,28406,2013,3,29,13,1,112.0,110.0,108.0,121.0,-11.0,14.0,1021.0,10.0,SE,12.96,0.0,0.0,2013-03-29,110.0
28406,28407,2013,3,29,14,1,102.0,110.0,98.0,108.0,-8.0,29.0,1020.0,9.0,SE,16.98,0.0,0.0,2013-03-29,103.33
28407,28408,2013,3,29,15,1,92.0,83.0,86.0,93.0,-9.0,25.0,1020.0,10.0,SE,18.77,0.0,0.0,2013-03-29,87.0
28408,28409,2013,3,29,16,1,76.0,88.0,87.0,97.0,-9.0,25.0,1020.0,10.0,SE,20.56,0.0,0.0,2013-03-29,83.67
28409,28410,2013,3,29,17,1,92.0,93.0,92.0,100.0,-7.0,31.0,1019.0,9.0,NE,3.13,0.0,0.0,2013-03-29,92.33
28410,28411,2013,3,29,18,1,94.0,95.0,95.0,101.0,-6.0,34.0,1019.0,9.0,NE,4.92,0.0,0.0,2013-03-29,94.67
28412,28413,2013,3,29,20,1,66.0,66.0,66.0,75.0,-4.0,48.0,1021.0,6.0,SE,3.13,0.0,0.0,2013-03-29,66.0
28413,28414,2013,3,29,21,1,58.0,59.0,61.0,58.0,-5.0,51.0,1022.0,4.0,SE,7.15,0.0,0.0,2013-03-29,59.33
28414,28415,2013,3,29,22,1,58.0,59.0,55.0,66.0,-5.0,51.0,1022.0,4.0,SE,11.17,0.0,0.0,2013-03-29,57.33
28416,28417,2013,3,30,0,1,58.0,63.0,61.0,72.0,-6.0,51.0,1023.0,3.0,SE,17.43,0.0,0.0,2013-03-30,60.67
28417,28418,2013,3,30,1,1,61.0,64.0,60.0,75.0,-6.0,51.0,1023.0,3.0,SE,19.22,0.0,0.0,2013-03-30,61.67
28418,28419,2013,3,30,2,1,69.0,63.0,66.0,82.0,-7.0,47.0,1023.0,3.0,SE,22.35,0.0,0.0,2013-03-30,66.0
28419,28420,2013,3,30,3,1,71.0,77.0,70.0,85.0,-8.0,44.0,1022.0,3.0,cv,0.45,0.0,0.0,2013-03-30,72.67
28420,28421,2013,3,30,4,1,73.0,75.0,73.0,82.0,-7.0,47.0,1022.0,3.0,cv,0.9,0.0,0.0,2013-03-30,73.67
28421,28422,2013,3,30,5,1,72.0,79.0,70.0,81.0,-8.0,47.0,1022.0,2.0,NW,1.79,0.0,0.0,2013-03-30,73.67
28422,28423,2013,3,30,6,1,71.0,74.0,71.0,84.0,-7.0,51.0,1023.0,2.0,NW,3.58,0.0,0.0,2013-03-30,72.0
28423,28424,2013,3,30,7,1,79.0,75.0,76.0,90.0,-5.0,64.0,1023.0,1.0,NW,5.37,0.0,0.0,2013-03-30,76.67
28424,28425,2013,3,30,8,1,82.0,79.0,84.0,93.0,-7.0,38.0,1023.0,6.0,NW,8.5,0.0,0.0,2013-03-30,81.67
28425,28426,2013,3,30,9,1,82.0,83.0,80.0,100.0,-7.0,36.0,1024.0,7.0,SE,3.13,0.0,0.0,2013-03-30,81.67
28426,28427,2013,3,30,10,1,82.0,84.0,80.0,122.0,-7.0,36.0,1024.0,7.0,SE,6.26,0.0,0.0,2013-03-30,82.0
28427,28428,2013,3,30,11,1,86.0,80.0,75.0,90.0,-6.0,36.0,1024.0,8.0,SE,9.39,0.0,0.0,2013-03-30,80.33
28428,28429,2013,3,30,12,1,90.0,80.0,81.0,97.0,-6.0,34.0,1023.0,9.0,SE,12.52,0.0,0.0,2013-03-30,83.67
28429,28430,2013,3,30,13,1,103.0,99.0,95.0,116.0,-5.0,34.0,1022.0,10.0,SE,15.65,0.0,0.0,2013-03-30,99.0
28430,28431,2013,3,30,14,1,103.0,91.0,95.0,110.0,-4.0,34.0,1021.0,11.0,SE,19.67,0.0,0.0,2013-03-30,96.33
28431,28432,2013,3,30,15,1,90.0,89.0,85.0,98.0,-2.0,42.0,1021.0,10.0,SE,24.59,0.0,0.0,2013-03-30,88.0
28432,28433,2013,3,30,16,1,86.0,84.0,83.0,104.0,-1.0,49.0,1020.0,9.0,SE,29.51,0.0,0.0,2013-03-30,84.33
28433,28434,2013,3,30,17,1,77.0,73.0,77.0,85.0,0.0,49.0,1020.0,7.0,SE,33.53,0.0,0.0,2013-03-30,75.67
28434,28435,2013,3,30,18,1,81.0,84.0,80.0,91.0,0.0,60.0,1021.0,7.0,SE,37.55,0.0,0.0,2013-03-30,81.67
28436,28437,2013,3,30,20,1,91.0,93.0,72.0,107.0,0.0,70.0,1022.0,5.0,SE,44.7,0.0,0.0,2013-03-30,85.33
28437,28438,2013,3,30,21,1,76.0,96.0,73.0,100.0,0.0,75.0,1023.0,4.0,SE,47.83,0.0,0.0,2013-03-30,81.67
28438,28439,2013,3,30,22,1,79.0,96.0,75.0,101.0,0.0,75.0,1023.0,4.0,SE,49.62,0.0,0.0,2013-03-30,83.33
28439,28440,2013,3,30,23,1,85.0,92.0,79.0,107.0,0.0,80.0,1024.0,3.0,SE,51.41,0.0,0.0,2013-03-30,85.33
28440,28441,2013,3,31,0,1,90.0,93.0,83.0,105.0,1.0,80.0,1024.0,4.0,SE,53.2,0.0,0.0,2013-03-31,88.67
28441,28442,2013,3,31,1,1,94.0,96.0,78.0,106.0,1.0,80.0,1024.0,4.0,SE,56.33,0.0,0.0,2013-03-31,89.33
28442,28443,2013,3,31,2,1,97.0,97.0,80.0,109.0,1.0,80.0,1023.0,4.0,SE,59.46,0.0,0.0,2013-03-31,91.33
28443,28444,2013,3,31,3,1,108.0,104.0,89.0,130.0,1.0,80.0,1023.0,4.0,SE,61.25,0.0,0.0,2013-03-31,100.33
28444,28445,2013,3,31,4,1,110.0,114.0,98.0,131.0,1.0,86.0,1022.0,3.0,SE,63.04,0.0,0.0,2013-03-31,107.33
28445,28446,2013,3,31,5,1,124.0,116.0,97.0,140.0,1.0,86.0,1022.0,3.0,SE,64.83,0.0,0.0,2013-03-31,112.33
28446,28447,2013,3,31,6,1,137.0,120.0,127.0,141.0,1.0,80.0,1022.0,4.0,SE,66.62,0.0,0.0,2013-03-31,128.0
28448,28449,2013,3,31,8,1,154.0,159.0,155.0,174.0,2.0,86.0,1022.0,4.0,SE,70.2,0.0,0.0,2013-03-31,156.0
28449,28450,2013,3,31,9,1,154.0,174.0,155.0,193.0,2.0,86.0,1022.0,4.0,SE,73.33,0.0,0.0,2013-03-31,161.0
28450,28451,2013,3,31,10,1,188.0,189.0,192.0,203.0,2.0,86.0,1022.0,4.0,SE,76.46,0.0,0.0,2013-03-31,189.67
28451,28452,2013,3,31,11,1,199.0,206.0,200.0,230.0,2.0,80.0,1021.0,5.0,SE,79.59,0.0,0.0,2013-03-31,201.67
28452,28453,2013,3,31,12,1,213.0,212.0,208.0,227.0,3.0,75.0,1020.0,7.0,SE,81.38,0.0,0.0,2013-03-31,211.0
28453,28454,2013,3,31,13,1,231.0,223.0,230.0,251.0,3.0,75.0,1018.0,6.0,SE,83.17,0.0,0.0,2013-03-31,228.0
28454,28455,2013,3,31,14,1,248.0,227.0,228.0,248.0,3.0,81.0,1017.0,6.0,SE,86.3,0.0,0.0,2013-03-31,234.33
28455,28456,2013,3,31,15,1,239.0,227.0,229.0,243.0,3.0,75.0,1016.0,7.0,SE,88.09,0.0,0.0,2013-03-31,231.67
28456,28457,2013,3,31,16,1,241.0,230.0,234.0,253.0,3.0,75.0,1015.0,7.0,SE,91.22,0.0,0.0,2013-03-31,235.0
28457,28458,2013,3,31,17,1,241.0,239.0,234.0,258.0,3.0,75.0,1015.0,7.0,NE,1.79,0.0,0.0,2013-03-31,238.0
28458,28459,2013,3,31,18,1,239.0,240.0,241.0,254.0,3.0,75.0,1015.0,7.0,NE,3.58,0.0,0.0,2013-03-31,240.0
28459,28460,2013,3,31,19,1,243.0,233.0,213.0,259.0,3.0,86.0,1015.0,5.0,NW,3.13,0.0,0.0,2013-03-31,229.67
28460,28461,2013,3,31,20,1,239.0,227.0,233.0,256.0,2.0,75.0,1015.0,6.0,NW,4.92,0.0,0.0,2013-03-31,233.0
28461,28462,2013,3,31,21,1,245.0,234.0,236.0,255.0,2.0,80.0,1015.0,5.0,NW,8.05,0.0,0.0,2013-03-31,238.33
28462,28463,2013,3,31,22,1,237.0,234.0,236.0,246.0,3.0,81.0,1015.0,6.0,NW,11.18,0.0,0.0,2013-03-31,235.67
28463,28464,2013,3,31,23,1,242.0,232.0,229.0,244.0,3.0,75.0,1015.0,7.0,NW,14.31,0.0,0.0,2013-03-31,234.33
28464,28465,2013,4,1,0,1,219.0,224.0,236.0,259.0,3.0,75.0,1015.0,7.0,cv,0.89,0.0,0.0,2013-04-01,226.33
