,No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
27173,27174,2013,2,6,5,4,116.0,,91.0,-16.0,78.1,1023.0,-13.0,NE,12.0,0.0,0.0,2013-02-06,103.5
27174,27175,2013,2,6,6,4,131.0,,105.0,-18.0,77.75,1023.0,-15.0,NE,14.0,0.0,0.0,2013-02-06,118.0
27175,27176,2013,2,6,7,4,137.0,,138.0,-18.0,77.75,1023.0,-15.0,NE,16.0,0.0,0.0,2013-02-06,137.5
27176,27177,2013,2,6,8,4,116.0,,162.0,-16.0,84.74,1023.0,-14.0,NE,18.0,0.0,0.0,2013-02-06,139.0
27177,27178,2013,2,6,9,4,89.0,,138.0,-16.0,66.47,1023.0,-11.0,NE,20.0,0.0,0.0,2013-02-06,113.5
27178,27179,2013,2,6,10,4,75.0,,117.0,-17.0,56.45,1023.0,-10.0,NW,4.0,0.0,0.0,2013-02-06,96.0
27179,27180,2013,2,6,11,4,89.0,,92.0,-17.0,56.45,1023.0,-10.0,NE,4.0,0.0,0.0,2013-02-06,90.5
27180,27181,2013,2,6,12,4,68.0,,75.0,-16.0,61.39,1022.0,-10.0,NE,8.0,0.0,0.0,2013-02-06,71.5
27181,27182,2013,2,6,13,4,65.0,,54.0,-16.0,56.74,1022.0,-9.0,NW,4.0,0.0,0.0,2013-02-06,59.5
27182,27183,2013,2,6,14,4,55.0,,59.0,-15.0,66.71,1022.0,-10.0,NW,11.0,0.0,0.0,2013-02-06,57.0
27183,27184,2013,2,6,15,4,19.0,,18.0,-15.0,72.23,1024.0,-11.0,NW,17.0,0.0,0.0,2013-02-06,18.5
27184,27185,2013,2,6,16,4,20.0,,18.0,-18.0,60.85,1025.0,-12.0,NW,25.0,0.0,0.0,2013-02-06,19.0
27185,27186,2013,2,6,17,4,29.0,,19.0,-18.0,65.98,1026.0,-13.0,NW,30.0,0.0,0.0,2013-02-06,24.0
27186,27187,2013,2,6,18,4,30.0,,18.0,-19.0,60.58,1027.0,-13.0,NW,34.0,0.0,0.0,2013-02-06,24.0
27187,27188,2013,2,6,19,4,19.0,,10.0,-21.0,50.94,1028.0,-13.0,NW,41.0,0.0,0.0,2013-02-06,14.5
27188,27189,2013,2,6,20,4,13.0,,8.0,-25.0,38.71,1029.0,-14.0,NW,49.0,0.0,0.0,2013-02-06,10.5
27189,27190,2013,2,6,21,4,15.0,,9.0,-25.0,42.03,1029.0,-15.0,NW,55.0,0.0,0.0,2013-02-06,12.0
27190,27191,2013,2,6,22,4,15.0,,9.0,-28.0,34.66,1029.0,-16.0,NW,64.0,0.0,0.0,2013-02-06,12.0
27191,27192,2013,2,6,23,4,18.0,,10.0,-28.0,37.69,1030.0,-17.0,NW,72.0,0.0,0.0,2013-02-06,14.0
27192,27193,2013,2,7,0,4,21.0,,10.0,-28.0,41.02,1030.0,-18.0,NW,78.0,0.0,0.0,2013-02-07,15.5
27193,27194,2013,2,7,1,4,21.0,,9.0,-28.0,41.02,1030.0,-18.0,NW,85.0,0.0,0.0,2013-02-07,15.0
27194,27195,2013,2,7,2,4,21.0,,10.0,-28.0,44.68,1031.0,-19.0,NW,90.0,0.0,0.0,2013-02-07,15.5
27195,27196,2013,2,7,3,4,22.0,,8.0,-28.0,44.68,1031.0,-19.0,NW,95.0,0.0,0.0,2013-02-07,15.0
27196,27197,2013,2,7,4,4,18.0,,8.0,-28.0,44.68,1031.0,-19.0,NW,100.0,0.0,0.0,2013-02-07,13.0
27197,27198,2013,2,7,5,4,17.0,,8.0,-28.0,48.7,1031.0,-20.0,NW,104.0,0.0,0.0,2013-02-07,12.5
27198,27199,2013,2,7,6,4,17.0,,8.0,-28.0,48.7,1032.0,-20.0,SW,4.0,0.0,0.0,2013-02-07,12.5
27199,27200,2013,2,7,7,4,19.0,,10.0,-28.0,53.13,1032.0,-21.0,NW,2.0,0.0,0.0,2013-02-07,14.5
27200,27201,2013,2,7,8,4,26.0,,16.0,-28.0,44.68,1033.0,-19.0,NW,6.0,0.0,0.0,2013-02-07,21.0
27201,27202,2013,2,7,9,4,20.0,,21.0,-28.0,41.02,1033.0,-18.0,NW,12.0,0.0,0.0,2013-02-07,20.5
27202,27203,2013,2,7,10,4,17.0,,20.0,-27.0,41.36,1034.0,-17.0,NW,18.0,0.0,0.0,2013-02-07,18.5
27203,27204,2013,2,7,11,4,16.0,,16.0,-26.0,45.35,1034.0,-17.0,NW,22.0,0.0,0.0,2013-02-07,16.0
27204,27205,2013,2,7,12,4,16.0,,14.0,-26.0,41.7,1034.0,-16.0,NW,27.0,0.0,0.0,2013-02-07,15.0
27205,27206,2013,2,7,13,4,14.0,,12.0,-25.0,42.03,1034.0,-15.0,NW,32.0,0.0,0.0,2013-02-07,13.0
27206,27207,2013,2,7,14,4,19.0,,16.0,-25.0,42.03,1034.0,-15.0,NW,39.0,0.0,0.0,2013-02-07,17.5
27207,27208,2013,2,7,15,4,19.0,,18.0,-24.0,46.01,1034.0,-15.0,NW,45.0,0.0,0.0,2013-02-07,18.5
27208,27209,2013,2,7,16,4,21.0,,17.0,-24.0,46.01,1035.0,-15.0,NW,51.0,0.0,0.0,2013-02-07,19.0
27209,27210,2013,2,7,17,4,25.0,,22.0,-24.0,46.01,1036.0,-15.0,NW,57.0,0.0,0.0,2013-02-07,23.5
27210,27211,2013,2,7,18,4,31.0,,30.0,-24.0,50.0,1037.0,-16.0,NW,62.0,0.0,0.0,2013-02-07,30.5
27211,27212,2013,2,7,19,4,37.0,,49.0,-24.0,54.37,1037.0,-17.0,NW,65.0,0.0,0.0,2013-02-07,43.0
27212,27213,2013,2,7,20,4,59.0,,56.0,-24.0,54.37,1037.0,-17.0,NE,4.0,0.0,0.0,2013-02-07,57.5
27213,27214,2013,2,7,21,4,66.0,,48.0,-24.0,59.18,1038.0,-18.0,NE,6.0,0.0,0.0,2013-02-07,57.0
27214,27215,2013,2,7,22,4,36.0,,32.0,-24.0,64.46,1038.0,-19.0,NE,8.0,0.0,0.0,2013-02-07,34.0
27215,27216,2013,2,7,23,4,30.0,,37.0,-25.0,70.03,1039.0,-21.0,SE,1.0,0.0,0.0,2013-02-07,33.5
27217,27218,2013,2,8,1,4,38.0,,27.0,-25.0,76.46,1040.0,-22.0,SE,1.0,0.0,0.0,2013-02-08,32.5
27218,27219,2013,2,8,2,4,88.0,,32.0,-27.0,76.07,1040.0,-24.0,SW,2.0,0.0,0.0,2013-02-08,60.0
27224,27225,2013,2,8,8,4,76.0,,175.0,-25.0,70.03,1039.0,-21.0,SE,11.0,0.0,0.0,2013-02-08,125.5
27225,27226,2013,2,8,9,4,71.0,,225.0,-23.0,70.49,1038.0,-19.0,SE,13.0,0.0,0.0,2013-02-08,148.0
27226,27227,2013,2,8,10,4,103.0,,189.0,-22.0,59.74,1038.0,-16.0,SW,2.0,0.0,0.0,2013-02-08,146.0
27227,27228,2013,2,8,11,4,117.0,,92.0,-21.0,55.28,1037.0,-14.0,SW,3.0,0.0,0.0,2013-02-08,104.5
27228,27229,2013,2,8,12,4,56.0,,90.0,-21.0,55.28,1036.0,-14.0,SW,5.0,0.0,0.0,2013-02-08,73.0
27229,27230,2013,2,8,13,4,37.0,,95.0,-22.0,46.66,1035.0,-13.0,cv,1.0,0.0,0.0,2013-02-08,66.0
27230,27231,2013,2,8,14,4,38.0,,83.0,-23.0,42.7,1035.0,-13.0,NW,2.0,0.0,0.0,2013-02-08,60.5
27231,27232,2013,2,8,15,4,42.0,,81.0,-22.0,46.66,1034.0,-13.0,SW,1.0,0.0,0.0,2013-02-08,61.5
27232,27233,2013,2,8,16,4,41.0,,75.0,-23.0,42.7,1033.0,-13.0,SW,2.0,0.0,0.0,2013-02-08,58.0
27233,27234,2013,2,8,17,4,49.0,,91.0,-23.0,46.33,1033.0,-14.0,SW,3.0,0.0,0.0,2013-02-08,70.0
27234,27235,2013,2,8,18,4,84.0,,123.0,-24.0,50.0,1032.0,-16.0,SW,5.0,0.0,0.0,2013-02-08,103.5
27235,27236,2013,2,8,19,4,92.0,,80.0,-23.0,54.68,1032.0,-16.0,SE,2.0,0.0,0.0,2013-02-08,86.0
27236,27237,2013,2,8,20,4,77.0,,63.0,-23.0,59.46,1032.0,-17.0,SW,2.0,0.0,0.0,2013-02-08,70.0
27237,27238,2013,2,8,21,4,92.0,,66.0,-23.0,59.46,1032.0,-17.0,SE,2.0,0.0,0.0,2013-02-08,79.0
27238,27239,2013,2,8,22,4,101.0,,83.0,-23.0,64.72,1032.0,-18.0,SE,4.0,0.0,0.0,2013-02-08,92.0
27239,27240,2013,2,8,23,4,98.0,,202.0,-25.0,64.19,1031.0,-20.0,SE,5.0,0.0,0.0,2013-02-08,150.0
27240,27241,2013,2,9,0,4,96.0,,181.0,-24.0,64.46,1031.0,-19.0,SE,7.0,0.0,0.0,2013-02-09,138.5
27241,27242,2013,2,9,1,4,84.0,,158.0,-23.0,64.72,1030.0,-18.0,SE,10.0,0.0,0.0,2013-02-09,121.0
27242,27243,2013,2,9,2,4,120.0,,135.0,-23.0,64.72,1029.0,-18.0,SE,14.0,0.0,0.0,2013-02-09,127.5
27243,27244,2013,2,9,3,4,115.0,,119.0,-23.0,64.72,1029.0,-18.0,SE,16.0,0.0,0.0,2013-02-09,117.0
27244,27245,2013,2,9,4,4,128.0,,189.0,-22.0,64.97,1028.0,-17.0,SE,19.0,0.0,0.0,2013-02-09,158.5
27245,27246,2013,2,9,5,4,153.0,,172.0,-22.0,64.97,1027.0,-17.0,SE,22.0,0.0,0.0,2013-02-09,162.5
27246,27247,2013,2,9,6,4,144.0,,179.0,-22.0,64.97,1026.0,-17.0,SE,26.0,0.0,0.0,2013-02-09,161.5
27247,27248,2013,2,9,7,4,161.0,,261.0,-22.0,64.97,1026.0,-17.0,SE,29.0,0.0,0.0,2013-02-09,211.0
27248,27249,2013,2,9,8,4,230.0,,387.0,-21.0,60.02,1026.0,-15.0,SE,32.0,0.0,0.0,2013-02-09,308.5
27249,27250,2013,2,9,9,4,285.0,,378.0,-19.0,60.58,1025.0,-13.0,SE,35.0,0.0,0.0,2013-02-09,331.5
27250,27251,2013,2,9,10,4,260.0,,259.0,-17.0,56.45,1024.0,-10.0,SE,38.0,0.0,0.0,2013-02-09,259.5
27251,27252,2013,2,9,11,4,240.0,,231.0,-15.0,52.77,1023.0,-7.0,SE,40.0,0.0,0.0,2013-02-09,235.5
27252,27253,2013,2,9,12,4,234.0,,199.0,-14.0,49.17,1022.0,-5.0,SW,4.0,0.0,0.0,2013-02-09,216.5
27253,27254,2013,2,9,13,4,182.0,,193.0,-7.0,92.61,1022.0,-6.0,SW,10.0,0.7,0.7,2013-02-09,187.5
27254,27255,2013,2,9,14,4,168.0,,147.0,-8.0,92.55,1022.0,-7.0,SW,14.0,0.6,1.3,2013-02-09,157.5
27256,27257,2013,2,9,16,4,207.0,,171.0,-7.0,92.61,1022.0,-6.0,SW,20.0,0.3,2.7,2013-02-09,189.0
27257,27258,2013,2,9,17,4,181.0,,157.0,-9.0,92.48,1023.0,-8.0,NW,4.0,0.0,0.0,2013-02-09,169.0
27258,27259,2013,2,9,18,4,207.0,,177.0,-11.0,92.36,1024.0,-10.0,NW,7.0,0.0,0.0,2013-02-09,192.0
27259,27260,2013,2,9,19,4,220.0,,221.0,-13.0,92.22,1025.0,-12.0,NW,9.0,0.0,0.0,2013-02-09,220.5
27260,27261,2013,2,9,20,4,244.0,,273.0,-16.0,84.74,1025.0,-14.0,SW,1.0,0.0,0.0,2013-02-09,258.5
27261,27262,2013,2,9,21,4,248.0,,216.0,-18.0,84.49,1026.0,-16.0,SE,2.0,0.0,0.0,2013-02-09,232.0
27262,27263,2013,2,9,22,4,335.0,,458.0,-18.0,84.49,1026.0,-16.0,SE,4.0,0.0,0.0,2013-02-09,396.5
27263,27264,2013,2,9,23,4,575.0,,844.0,-20.0,84.23,1026.0,-18.0,SE,6.0,0.0,0.0,2013-02-09,709.5
27264,27265,2013,2,10,0,4,204.0,,247.0,-23.0,76.84,1027.0,-20.0,SW,2.0,0.0,0.0,2013-02-10,225.5
27265,27266,2013,2,10,1,4,54.0,,58.0,-19.0,84.36,1027.0,-17.0,NW,2.0,0.0,0.0,2013-02-10,56.0
27266,27267,2013,2,10,2,4,37.0,,26.0,-17.0,84.62,1028.0,-15.0,NW,4.0,0.0,0.0,2013-02-10,31.5
27267,27268,2013,2,10,3,4,28.0,,19.0,-19.0,84.36,1028.0,-17.0,NW,6.0,0.0,0.0,2013-02-10,23.5
27268,27269,2013,2,10,4,4,53.0,,21.0,-22.0,83.96,1028.0,-20.0,cv,0.0,0.0,0.0,2013-02-10,37.0
27269,27270,2013,2,10,5,4,51.0,,24.0,-24.0,83.68,1028.0,-22.0,SE,2.0,0.0,0.0,2013-02-10,37.5
27270,27271,2013,2,10,6,4,39.0,,25.0,-25.0,76.46,1029.0,-22.0,SE,4.0,0.0,0.0,2013-02-10,32.0
27271,27272,2013,2,10,7,4,35.0,,25.0,-25.0,83.54,1029.0,-23.0,SE,6.0,0.0,0.0,2013-02-10,30.0
27272,27273,2013,2,10,8,4,45.0,,34.0,-23.0,76.84,1030.0,-20.0,SE,8.0,0.0,0.0,2013-02-10,39.5
27273,27274,2013,2,10,9,4,37.0,,51.0,-19.0,77.57,1031.0,-16.0,SE,9.0,0.0,0.0,2013-02-10,44.0
27274,27275,2013,2,10,10,4,22.0,,30.0,-18.0,65.98,1031.0,-13.0,NW,5.0,0.0,0.0,2013-02-10,26.0
27275,27276,2013,2,10,11,4,20.0,,24.0,-19.0,55.87,1031.0,-12.0,NW,9.0,0.0,0.0,2013-02-10,22.0
27276,27277,2013,2,10,12,4,19.0,,23.0,-21.0,46.98,1031.0,-12.0,NW,14.0,0.0,0.0,2013-02-10,21.0
27277,27278,2013,2,10,13,4,17.0,,22.0,-22.0,39.71,1031.0,-11.0,NW,17.0,0.0,0.0,2013-02-10,19.5
27278,27279,2013,2,10,14,4,16.0,,19.0,-21.0,43.36,1031.0,-11.0,NW,21.0,0.0,0.0,2013-02-10,17.5
27279,27280,2013,2,10,15,4,17.0,,20.0,-21.0,43.36,1032.0,-11.0,SE,4.0,0.0,0.0,2013-02-10,18.5
27280,27281,2013,2,10,16,4,19.0,,26.0,-21.0,46.98,1032.0,-12.0,SE,7.0,0.0,0.0,2013-02-10,22.5
27281,27282,2013,2,10,17,4,38.0,,44.0,-21.0,50.94,1032.0,-13.0,SE,9.0,0.0,0.0,2013-02-10,41.0
27282,27283,2013,2,10,18,4,46.0,,63.0,-22.0,46.66,1032.0,-13.0,SE,12.0,0.0,0.0,2013-02-10,54.5
27283,27284,2013,2,10,19,4,66.0,,83.0,-23.0,54.68,1033.0,-16.0,NE,3.0,0.0,0.0,2013-02-10,74.5
27284,27285,2013,2,10,20,4,52.0,,101.0,-23.0,59.46,1033.0,-17.0,NE,5.0,0.0,0.0,2013-02-10,76.5
27285,27286,2013,2,10,21,4,59.0,,127.0,-25.0,54.07,1033.0,-18.0,NE,7.0,0.0,0.0,2013-02-10,93.0
27286,27287,2013,2,10,22,4,60.0,,200.0,-25.0,64.19,1034.0,-20.0,SE,1.0,0.0,0.0,2013-02-10,130.0
27287,27288,2013,2,10,23,4,91.0,,239.0,-26.0,69.79,1034.0,-22.0,SE,2.0,0.0,0.0,2013-02-10,165.0
27288,27289,2013,2,11,0,4,146.0,,280.0,-27.0,69.56,1035.0,-23.0,cv,1.0,0.0,0.0,2013-02-11,213.0
27289,27290,2013,2,11,1,4,170.0,,227.0,-25.0,70.03,1035.0,-21.0,SE,3.0,0.0,0.0,2013-02-11,198.5
27290,27291,2013,2,11,2,4,263.0,,269.0,-28.0,69.32,1035.0,-24.0,cv,0.0,0.0,0.0,2013-02-11,266.0
27291,27292,2013,2,11,3,4,332.0,,289.0,-28.0,69.32,1035.0,-24.0,cv,1.0,0.0,0.0,2013-02-11,310.5
27292,27293,2013,2,11,4,4,481.0,,205.0,-27.0,69.56,1035.0,-23.0,SE,1.0,0.0,0.0,2013-02-11,343.0
27293,27294,2013,2,11,5,4,487.0,,388.0,-27.0,69.56,1035.0,-23.0,SE,3.0,0.0,0.0,2013-02-11,437.5
27294,27295,2013,2,11,6,4,447.0,,483.0,-27.0,69.56,1035.0,-23.0,SE,5.0,0.0,0.0,2013-02-11,465.0
27295,27296,2013,2,11,7,4,411.0,,395.0,-29.0,69.08,1035.0,-25.0,NE,2.0,0.0,0.0,2013-02-11,403.0
27296,27297,2013,2,11,8,4,389.0,,429.0,-26.0,69.79,1036.0,-22.0,NE,3.0,0.0,0.0,2013-02-11,409.0
27297,27298,2013,2,11,9,4,398.0,,425.0,-22.0,64.97,1036.0,-17.0,SE,2.0,0.0,0.0,2013-02-11,411.5
27298,27299,2013,2,11,10,4,227.0,,405.0,-20.0,55.57,1035.0,-13.0,SE,3.0,0.0,0.0,2013-02-11,316.0
27299,27300,2013,2,11,11,4,112.0,,183.0,-20.0,47.3,1035.0,-11.0,SW,2.0,0.0,0.0,2013-02-11,147.5
27300,27301,2013,2,11,12,4,88.0,,59.0,-20.0,43.68,1034.0,-10.0,SW,4.0,0.0,0.0,2013-02-11,73.5
27301,27302,2013,2,11,13,4,77.0,,37.0,-20.0,40.37,1033.0,-9.0,SW,6.0,0.0,0.0,2013-02-11,57.0
27302,27303,2013,2,11,14,4,73.0,,33.0,-19.0,40.7,1032.0,-8.0,SW,8.0,0.0,0.0,2013-02-11,53.0
27303,27304,2013,2,11,15,4,46.0,,16.0,-19.0,40.7,1031.0,-8.0,SW,10.0,0.0,0.0,2013-02-11,31.0
27304,27305,2013,2,11,16,4,55.0,,28.0,-20.0,37.34,1031.0,-8.0,SW,12.0,0.0,0.0,2013-02-11,41.5
27305,27306,2013,2,11,17,4,62.0,,46.0,-19.0,44.01,1031.0,-9.0,SE,1.0,0.0,0.0,2013-02-11,54.0
27306,27307,2013,2,11,18,4,72.0,,77.0,-19.0,51.56,1031.0,-11.0,SE,3.0,0.0,0.0,2013-02-11,74.5
27307,27308,2013,2,11,19,4,73.0,,136.0,-19.0,55.87,1031.0,-12.0,SE,5.0,0.0,0.0,2013-02-11,104.5
27308,27309,2013,2,11,20,4,81.0,,197.0,-19.0,55.87,1030.0,-12.0,SE,8.0,0.0,0.0,2013-02-11,139.0
27309,27310,2013,2,11,21,4,85.0,,241.0,-19.0,60.58,1030.0,-13.0,SE,10.0,0.0,0.0,2013-02-11,163.0
27310,27311,2013,2,11,22,4,92.0,,215.0,-18.0,65.98,1030.0,-13.0,SE,12.0,0.0,0.0,2013-02-11,153.5
27311,27312,2013,2,11,23,4,95.0,,164.0,-17.0,56.45,1029.0,-10.0,SE,14.0,0.0,0.0,2013-02-11,129.5
27312,27313,2013,2,12,0,4,72.0,,129.0,-15.0,61.65,1029.0,-9.0,SE,16.0,0.0,0.0,2013-02-12,100.5
27313,27314,2013,2,12,1,4,98.0,,109.0,-14.0,66.95,1028.0,-9.0,SE,18.0,0.0,0.0,2013-02-12,103.5
27314,27315,2013,2,12,2,4,104.0,,121.0,-13.0,67.19,1027.0,-8.0,SE,20.0,0.0,0.0,2013-02-12,112.5
27315,27316,2013,2,12,3,4,93.0,,134.0,-12.0,67.42,1026.0,-7.0,SE,22.0,0.0,0.0,2013-02-12,113.5
27316,27317,2013,2,12,4,4,63.0,,142.0,-11.0,67.65,1026.0,-6.0,SE,25.0,0.0,0.0,2013-02-12,102.5
27317,27318,2013,2,12,5,4,58.0,,105.0,-10.0,73.25,1025.0,-6.0,SE,28.0,0.0,0.0,2013-02-12,81.5
27318,27319,2013,2,12,6,4,61.0,,49.0,-9.0,79.26,1024.0,-6.0,SE,31.0,0.2,0.2,2013-02-12,55.0
27319,27320,2013,2,12,7,4,64.0,,36.0,-8.0,85.7,1024.0,-6.0,SE,33.0,0.0,0.0,2013-02-12,50.0
27320,27321,2013,2,12,8,4,79.0,,42.0,-7.0,92.61,1023.0,-6.0,SE,35.0,0.1,0.1,2013-02-12,60.5
27321,27322,2013,2,12,9,4,105.0,,61.0,-7.0,92.61,1023.0,-6.0,SW,3.0,0.5,0.6,2013-02-12,83.0
27322,27323,2013,2,12,10,4,124.0,,87.0,-6.0,92.67,1023.0,-5.0,SW,6.0,0.1,0.7,2013-02-12,105.5
27323,27324,2013,2,12,11,4,133.0,,99.0,-6.0,92.67,1023.0,-5.0,SW,9.0,0.1,0.8,2013-02-12,116.0
27324,27325,2013,2,12,12,4,134.0,,102.0,-5.0,92.73,1022.0,-4.0,SW,12.0,0.0,0.0,2013-02-12,118.0
27325,27326,2013,2,12,13,4,78.0,,75.0,-5.0,86.04,1022.0,-3.0,SW,16.0,0.0,0.0,2013-02-12,76.5
27326,27327,2013,2,12,14,4,60.0,,51.0,-10.0,58.41,1022.0,-3.0,SW,20.0,0.0,0.0,2013-02-12,55.5
27327,27328,2013,2,12,15,4,60.0,,47.0,-11.0,50.08,1022.0,-2.0,SW,23.0,0.0,0.0,2013-02-12,53.5
27328,27329,2013,2,12,16,4,60.0,,52.0,-11.0,50.08,1022.0,-2.0,SW,25.0,0.0,0.0,2013-02-12,56.0
27329,27330,2013,2,12,17,4,61.0,,62.0,-12.0,53.65,1022.0,-4.0,SE,2.0,0.0,0.0,2013-02-12,61.5
27330,27331,2013,2,12,18,4,72.0,,85.0,-12.0,62.44,1022.0,-6.0,SE,4.0,0.0,0.0,2013-02-12,78.5
27331,27332,2013,2,12,19,4,99.0,,87.0,-13.0,62.18,1022.0,-7.0,SE,7.0,0.0,0.0,2013-02-12,93.0
27332,27333,2013,2,12,20,4,129.0,,92.0,-14.0,66.95,1022.0,-9.0,SE,9.0,0.0,0.0,2013-02-12,110.5
27333,27334,2013,2,12,21,4,188.0,,137.0,-14.0,66.95,1023.0,-9.0,SE,11.0,0.0,0.0,2013-02-12,162.5
27334,27335,2013,2,12,22,4,187.0,,143.0,-14.0,66.95,1023.0,-9.0,SE,14.0,0.0,0.0,2013-02-12,165.0
27335,27336,2013,2,12,23,4,126.0,,99.0,-14.0,66.95,1023.0,-9.0,SE,17.0,0.0,0.0,2013-02-12,112.5
27336,27337,2013,2,13,0,4,75.0,,63.0,-14.0,61.92,1022.0,-8.0,SE,20.0,0.0,0.0,2013-02-13,69.0
27337,27338,2013,2,13,1,4,60.0,,67.0,-14.0,57.3,1022.0,-7.0,SE,23.0,0.0,0.0,2013-02-13,63.5
27338,27339,2013,2,13,2,4,53.0,,75.0,-14.0,57.3,1021.0,-7.0,SE,26.0,0.0,0.0,2013-02-13,64.0
27339,27340,2013,2,13,3,4,54.0,,65.0,-14.0,57.3,1021.0,-7.0,SE,29.0,0.0,0.0,2013-02-13,59.5
27340,27341,2013,2,13,4,4,59.0,,60.0,-14.0,53.07,1020.0,-6.0,SE,32.0,0.0,0.0,2013-02-13,59.5
27341,27342,2013,2,13,5,4,65.0,,57.0,-14.0,57.3,1020.0,-7.0,SE,35.0,0.0,0.0,2013-02-13,61.0
27342,27343,2013,2,13,6,4,73.0,,74.0,-13.0,62.18,1020.0,-7.0,SE,38.0,0.0,0.0,2013-02-13,73.5
27343,27344,2013,2,13,7,4,88.0,,77.0,-13.0,62.18,1021.0,-7.0,SE,41.0,0.0,0.0,2013-02-13,82.5
27344,27345,2013,2,13,8,4,103.0,,83.0,-11.0,62.69,1021.0,-5.0,SW,4.0,0.0,0.0,2013-02-13,93.0
27345,27346,2013,2,13,9,4,105.0,,81.0,-11.0,53.94,1021.0,-3.0,SW,9.0,0.0,0.0,2013-02-13,93.0
27346,27347,2013,2,13,10,4,114.0,,86.0,-10.0,50.38,1021.0,-1.0,SW,14.0,0.0,0.0,2013-02-13,100.0
27347,27348,2013,2,13,11,4,137.0,,107.0,-10.0,46.84,1021.0,0.0,SW,19.0,0.0,0.0,2013-02-13,122.0
27348,27349,2013,2,13,12,4,149.0,,124.0,-8.0,50.97,1020.0,1.0,SW,25.0,0.0,0.0,2013-02-13,136.5
27349,27350,2013,2,13,13,4,182.0,,146.0,-7.0,51.27,1020.0,2.0,SW,32.0,0.0,0.0,2013-02-13,164.0
27350,27351,2013,2,13,14,4,194.0,,170.0,-6.0,55.36,1020.0,2.0,SW,38.0,0.0,0.0,2013-02-13,182.0
27351,27352,2013,2,13,15,4,195.0,,164.0,-6.0,55.36,1019.0,2.0,SW,43.0,0.0,0.0,2013-02-13,179.5
27352,27353,2013,2,13,16,4,204.0,,158.0,-6.0,55.36,1020.0,2.0,SW,47.0,0.0,0.0,2013-02-13,181.0
27353,27354,2013,2,13,17,4,192.0,,164.0,-6.0,59.48,1020.0,1.0,SW,50.0,0.0,0.0,2013-02-13,178.0
27354,27355,2013,2,13,18,4,236.0,,170.0,-6.0,68.78,1021.0,-1.0,SW,51.0,0.0,0.0,2013-02-13,203.0
27355,27356,2013,2,13,19,4,323.0,,180.0,-7.0,68.56,1022.0,-2.0,SW,53.0,0.0,0.0,2013-02-13,251.5
27356,27357,2013,2,13,20,4,185.0,,198.0,-8.0,73.65,1022.0,-4.0,SE,1.0,0.0,0.0,2013-02-13,191.5
27357,27358,2013,2,13,21,4,155.0,,222.0,-8.0,73.65,1022.0,-4.0,SE,4.0,0.0,0.0,2013-02-13,188.5
27358,27359,2013,2,13,22,4,173.0,,163.0,-8.0,85.7,1023.0,-6.0,SE,5.0,0.0,0.0,2013-02-13,168.0
27359,27360,2013,2,13,23,4,214.0,,171.0,-9.0,85.59,1023.0,-7.0,NW,2.0,0.0,0.0,2013-02-13,192.5
27360,27361,2013,2,14,0,4,242.0,,201.0,-5.0,86.04,1024.0,-3.0,cv,1.0,0.0,0.0,2013-02-14,221.5
27361,27362,2013,2,14,1,4,145.0,,145.0,-7.0,85.82,1024.0,-5.0,SE,1.0,0.0,0.0,2013-02-14,145.0
27362,27363,2013,2,14,2,4,23.0,,37.0,-6.0,85.93,1025.0,-4.0,NW,2.0,0.0,0.0,2013-02-14,30.0
27363,27364,2013,2,14,3,4,20.0,,27.0,-14.0,53.07,1026.0,-6.0,NW,10.0,0.0,0.0,2013-02-14,23.5
27364,27365,2013,2,14,4,4,19.0,,35.0,-17.0,48.25,1026.0,-8.0,NW,17.0,0.0,0.0,2013-02-14,27.0
27365,27366,2013,2,14,5,4,22.0,,19.0,-16.0,52.47,1027.0,-8.0,NW,22.0,0.0,0.0,2013-02-14,20.5
27366,27367,2013,2,14,6,4,47.0,,24.0,-17.0,56.45,1027.0,-10.0,NE,3.0,0.0,0.0,2013-02-14,35.5
27367,27368,2013,2,14,7,4,44.0,,28.0,-18.0,56.16,1028.0,-11.0,NW,2.0,0.0,0.0,2013-02-14,36.0
27368,27369,2013,2,14,8,4,33.0,,37.0,-17.0,56.45,1029.0,-10.0,NE,2.0,0.0,0.0,2013-02-14,35.0
27369,27370,2013,2,14,9,4,37.0,,41.0,-18.0,47.93,1029.0,-9.0,NE,5.0,0.0,0.0,2013-02-14,39.0
27370,27371,2013,2,14,10,4,21.0,,24.0,-17.0,48.25,1029.0,-8.0,NE,9.0,0.0,0.0,2013-02-14,22.5
27371,27372,2013,2,14,11,4,28.0,,25.0,-16.0,44.97,1029.0,-6.0,NE,13.0,0.0,0.0,2013-02-14,26.5
27372,27373,2013,2,14,12,4,20.0,,25.0,-19.0,34.88,1028.0,-6.0,NW,4.0,0.0,0.0,2013-02-14,22.5
27373,27374,2013,2,14,13,4,17.0,,16.0,-18.0,37.99,1028.0,-6.0,NE,1.0,0.0,0.0,2013-02-14,16.5
27374,27375,2013,2,14,14,4,14.0,,13.0,-17.0,38.32,1028.0,-5.0,NE,2.0,0.0,0.0,2013-02-14,13.5
